title,details,link
10q22.3q23 microdeletion syndrome,Other names: Del(10)(q22.3q23.3);  Deletion 10q22.3q23.3;  Monosomy 10q22.3q23.3,diseases/13018/10q223q23-microdeletion-syndrome
11-beta-hydroxylase deficiency,Other names: Adrenal hyperplasia 4;  Adrenal hyperplasia hypertensive form;  Adrenal hyperplasia IV;  CAH due to 11-beta-hydroxylase deficiency;  Congenital adrenal hyperplasia due to 11-beta-hydroxylase deficiency;  CYP11B1 deficiency;  P450c11b1 deficiency;  Steroid 11-beta-hydroxylase deficiency,diseases/5658/11-beta-hydroxylase-deficiency
12q14 microdeletion syndrome,Other names: Del(12)(q14);  Deletion 12q14;  Monosomy 12q14;  Osteopoikilosis-short stature-intellectual disability syndrome,diseases/13390/12q14-microdeletion-syndrome
15q11.2 microdeletion,Other names: 15q11.2 BP1-BP2 microdeletion syndrome;  15q11.2 microdeletion syndrome;  Chromosome 15q11.2 deletion;  Chromosome 15q11.2 microdeletion;  Del(15)(q11.2);  Monosomy 15q11.2,diseases/10525/15q112-microdeletion
15q13.3 microdeletion syndrome,Other names: 15q13.3 microdeletion;  Chromosome 15q13.3 deletion syndrome;  Chromosome 15q13.3 microdeletion syndrome;  Microdeletion 15q13.3 syndrome,diseases/10296/15q133-microdeletion-syndrome
15q13.3 microduplication syndrome,Other names: 15q13.3 microduplication;  Chromosome 15q13.3 duplication syndrome;  Chromosome 15q13.3 microduplication syndrome;  Microduplication 15q13.3 syndrome,diseases/11975/15q133-microduplication-syndrome
15q24 microdeletion syndrome,Other names: Del(15)(q24);  Monosomy 15q24,diseases/12219/15q24-microdeletion-syndrome
16p11.2 deletion syndrome,Other names: Chromosome 16p11.2 deletion syndrome;  Del(16)(p11.2);  Microdeletion 16p11.2;  Monosomy 16p11.2,diseases/10740/16p112-deletion-syndrome
16p11.2 duplication,Other names: 16p11.2 duplication syndrome;  16p11.2 microduplication;  AUTS14B;  Susceptibility to Autism;  14B,diseases/12388/16p112-duplication
16p13.11 microduplication syndrome,Other names: Dup(16)(p13.11);  Trisomy 16p13.11,diseases/13392/16p1311-microduplication-syndrome
16q24.3 microdeletion syndrome,Other names: Chromosome 16q24.3 microdeletion syndrome;  Del(16)(q24.3);  Monosomy 16q24.3,diseases/10935/16q243-microdeletion-syndrome
17-alpha-hydroxylase deficiency,Other names: Congenital adrenal hyperplasia due to 17-alpha-hydroxylase deficiency;  Congenital adrenal hyperplasia type 5,diseases/1469/17-alpha-hydroxylase-deficiency
17-beta hydroxysteroid dehydrogenase 3 deficiency,Other names: 17 alpha ketosteroid reductase deficiency of testis;  17 alpha KSR deficiency;  17 beta hydroxysteroid dehydrogenase III deficiency;  Male pseudoherma-phroditism with gynecomastia;  Neutral 17 beta hydroxysteroid oxidoreductase deficiency,diseases/5659/17-beta-hydroxysteroid-dehydrogenase-3-deficiency
17q12 deletion syndrome,Other names: 17q12 microdeletion syndrome;  17q12 recurrent deletion syndrome;  Chromosome 17q12 deletion syndrome;  Del(17)(q12);  Monosomy 17q12,diseases/13297/17q12-deletion-syndrome
17q12 duplication,Other names: 17q12 microduplication;  17q12 microduplication syndrome;  Chromosome 17q12 duplication syndrome;  Dup(17)(q12);  Recurrent duplication of 17q12;  Trisomy 17q12,diseases/13296/17q12-duplication
17q23.1q23.2 microdeletion syndrome,Other names: 17q23.1-q23.2 microdeletion syndrome;  Chromosome 17q23.1-q23.2 deletion syndrome;  Del(17)(q23.1q23.2);  Monosomy 17q23.1-q23.2;  Monosomy 17q23.1q23.2,diseases/10936/17q231q232-microdeletion-syndrome
18 Hydroxylase deficiency,Other names: 18 alpha hydroxylase deficiency;  Aldosterone deficiency 1;  Aldosterone deficiency due to defect in 18 hydroxylase;  CMO 1 deficiency;  Corticosterone methyloxidase type 1 deficiency,diseases/5660/18-hydroxylase-deficiency
19p13.12 microdeletion syndrome,Other names: Chromosome19p13.12 microdeletion;  Del(19)(p13.12);  Monosomy 19p13.12,diseases/10991/19p1312-microdeletion-syndrome
1q duplications,Other names: Partial duplication of chromosome 1q;  Partial duplication of the long arm of chromosome 1;  Partial trisomy 1q;  Partial trisomy of chromosome 1q;  Partial trisomy of the long arm of chromosome 1,diseases/10831/1q-duplications
1q21.1 microdeletion syndrome,Other names: 1q21.1 microdeletion;  Chromosome 1q21.1 microdeletion syndrome;  Monosomy 1q21.1,diseases/10813/1q211-microdeletion-syndrome
1q44 microdeletion syndrome,Other names: Chromosome 1q44 microdeletion syndrome;  Del(1)(q44);  Monosomy 1q44,diseases/10943/1q44-microdeletion-syndrome
"2,4-Dienoyl-CoA reductase deficiency",Other names: 2; 4-alpha dienoyl-CoA reductase deficiency;  Dienoyl-CoA reductase deficiency,diseases/10327/24-dienoyl-coa-reductase-deficiency
2-hydroxyethyl methacrylate sensitization,Other names: 2-HEMA sensitization;  Sensitization to 2-hydroxyethyl methacrylate,diseases/8635/2-hydroxyethyl-methacrylate-sensitization
2-Hydroxyglutaric aciduria,,diseases/10761/2-hydroxyglutaric-aciduria
2-Methylacetoacetyl CoA thiolase deficiency,,diseases/8382/2-methylacetoacetyl-coa-thiolase-deficiency
2-methylbutyryl-CoA dehydrogenase deficiency,Other names: 2-methylbutyric aciduria;  SBCAD deficiency;  Short branched-chain acyl-CoA dehydrogenase deficiency,diseases/10322/2-methylbutyryl-coa-dehydrogenase-deficiency
20p12.3 microdeletion syndrome,Other names: Del(20)(p12.3);  Monosomy 20p12.3,diseases/12492/20p123-microdeletion-syndrome
21-hydroxylase deficiency,Other names: 21 hydroxylase deficiency;  Adrenal hyperplasia;  congenital;  due to 21-hydroxylase deficiency;  Congenital adrenal hyperplasia due to 21-hydroxylase deficiency;  CYP21 deficiency,diseases/5757/21-hydroxylase-deficiency
22q11.2 deletion syndrome,Other names: Autosomal dominant Opitz G/BBB syndrome;  CATCH22;  Cayler cardiofacial syndrome;  Chromosome 22q11.2 deletion syndrome;  Conotruncal anomaly face syndrome;  DiGeorge syndrome;  Sedlackova syndrome;  Shprintzen syndrome;  VCFS;  Velocardiofacial syndrome,diseases/10299/22q112-deletion-syndrome
22q11.2 duplication syndrome,Other names: 22q11.2 duplication;  22q11.2 microduplication syndrome;  Chromosome 22q11.2 duplication syndrome,diseases/10557/22q112-duplication-syndrome
22q13.3 deletion syndrome,Other names: 22q13 deletion;  22q13.3 deletion;  Chromosome 22q13.3 deletion syndrome;  Deletion 22q13.3 syndrome;  Monosomy 22q13;  Monosomy 22q13.3;  Phelan-McDermid syndrome,diseases/10130/22q133-deletion-syndrome
2p15p16.1 microdeletion syndrome,Other names: 2p15-p16.1 microdeletion syndrome;  Del(2)(p15p16.1);  Monosomy 2p15-p16.1;  Monosomy 2p15p16.1,diseases/13391/2p15p161-microdeletion-syndrome
2q23.1 microdeletion syndrome,Other names: Chromosome 2q23.1 microdeletion syndrome;  Del(2)(q23.1);  Monosomy 2q23.1;  Pseudo-Angelman syndrome,diseases/10998/2q231-microdeletion-syndrome
2q37 deletion syndrome,Other names: Albright hereditary osteodystrophy-like syndrome;  Brachydactyly-Intellectual disability syndrome;  Chromosome 2q37 deletion syndrome,diseases/10202/2q37-deletion-syndrome
3-alpha hydroxyacyl-CoA dehydrogenase deficiency,Other names: 3-hydroxylacyl-CoA dehydrogenase deficiency;  HADH deficiency;  M/SCHAD;  Medium and short chain 3-hydroxyacyl-CoA dehydrogenase deficiency,diseases/9870/3-alpha-hydroxyacyl-coa-dehydrogenase-deficiency
3-beta-hydroxysteroid dehydrogenase deficiency,Other names: 3-beta-HSD deficiency;  3b-hydroxysteroid dehydrogenase deficiency;  Adrenal hyperplasia 2;  Adrenal hyperplasia II;  CAH due to 3-beta-hydroxysteroid dehydrogenase deficiency;  Congenital adrenal hyperplasia due to 3-beta-hydroxysteroid dehydrogenase deficiency;  HSD3B deficiency;  Type II 3-beta-hydroxysteroid dehydrogenase deficiency,diseases/9152/3-beta-hydroxysteroid-dehydrogenase-deficiency
3-Hydroxyisobutyric aciduria,Other names: Disorder of valine metabolism,diseases/5662/3-hydroxyisobutyric-aciduria
3-methylcrotonyl-CoA carboxylase deficiency,Other names: 3-MCC deficiency;  3-methylcrotonylglycinuria;  3MCC;  Isolated 3-methylcrotonyl-CoA carboxylase deficiency;  MCC deficiency;  MCCD,diseases/10954/3-methylcrotonyl-coa-carboxylase-deficiency
3-methylglutaconyl-CoA hydratase deficiency (AUH defect),Other names: 3 alpha methylglutaconic aciduria type I;  3 methylglutaconic aciduria type 1;  3 methylglutaconyl CoA hydratase deficiency;  3-MGCA type I (3-MGCA-1);  3MG CoA hydratase deficiency;  MGA type I,diseases/10321/3-methylglutaconyl-coa-hydratase-deficiency-auh-defect
3M syndrome,Other names: 3-M syndrome;  3-MSBN;  3M1;  Dolichospondylic dysplasia;  Gloomy face syndrome;  Le Merrer syndrome;  Three M syndrome;  Three-M slender-boned nanism;  Yakut short stature syndrome,diseases/5667/3m-syndrome
3MC syndrome,Other names: Craniofacial-ulnar-renal syndrome;  Malpuech-Michels-Mingarelli-Carnevale syndrome,diseases/1118/3mc-syndrome
3q29 microdeletion syndrome,Other names: 3q subtelomere deletion syndrome;  3q29 deletion;  3q29 deletion syndrome;  3qter deletion;  Chromosome 3q29 microdeletion syndrome;  Del(3)(q29);  Monosomy 3q29;  Monosomy 3qter,diseases/11974/3q29-microdeletion-syndrome
4-hydroxyphenylacetic aciduria,,diseases/8155/4-hydroxyphenylacetic-aciduria
"46, XY disorders of sexual development",Other names: 46;  XY DSD;  46;  XY female;  XY female,diseases/8538/46-xy-disorders-of-sexual-development
"46,XX Gonadal dysgenesis epibulbar dermoid",,diseases/5671/46xx-gonadal-dysgenesis-epibulbar-dermoid
"46,XX testicular disorder of sex development",Other names: 46;  XX gonadal sex reversal;  46; XX gonadal dysgenesis;  46; XX testicular DSD;  XX male syndrome;  XX sex reversal,diseases/399/46xx-testicular-disorder-of-sex-development
47 XXX syndrome,Other names: Triple X syndrome;  Triple-X chromosome syndrome;  Triple-X female;  Triplo X syndrome;  Trisomy X;  XXX syndrome,diseases/5672/47-xxx-syndrome
"47, XXY",,diseases/11920/47-xxy
"47, XYY syndrome",Other names: 47; XYY syndrome;  Disomy Y;  Double Y;  Double Y syndrome;  Jacobs syndrome;  XYY Karyotype;  XYY syndrome;  Y disomy;  YY syndrome,diseases/5674/47-xyy-syndrome
"48,XXXY syndrome",Other names: XXXY syndrome,diseases/5676/48xxxy-syndrome
"48,XXYY syndrome",Other names: 48; XXYY Klinefelter syndrome;  48; XXYY variant of Klinefelter's syndrome;  XXYY syndrome,diseases/5677/48xxyy-syndrome
"48,XYYY",,diseases/11985/48xyyy
"49, XXXXY syndrome",Other names: 49; XXXXY;  XXXXY syndrome,diseases/5679/49-xxxxy-syndrome
"49, XXXYY syndrome",Other names: XXXYY syndrome,diseases/10922/49-xxxyy-syndrome
"49,XXXXX syndrome",Other names: Chromosome X pentasomy;  Chromosome XXXXX syndrome;  Penta-X syndrome;  Pentasomy X;  Pentasomy X syndrome,diseases/5678/49xxxxx-syndrome
5-alpha reductase deficiency,Other names: Familial incomplete male pseudohermaphroditism;  type 2;  Male pseudohermaphroditism due to 5-alpha-reductase deficiency;  PPSH;  Pseudovaginal perineoscrotal hypospadias,diseases/5680/5-alpha-reductase-deficiency
5-Nucleotidase syndrome,Other names: 5'NT syndrome,diseases/8242/5-nucleotidase-syndrome
5-oxoprolinase deficiency,Other names: 5-alpha-oxoprolinase deficiency;  Oxoprolinuria due to 5-oxoprolinase deficiency,diseases/5681/5-oxoprolinase-deficiency
5q- syndrome,Other names: 5q deletion syndrome;  5q minus syndrome;  5q syndrome;  MAR;  Refractory macrocytic anemia due to 5q deletion,diseases/8723/5q-syndrome
5q14.3 microdeletion syndrome,Other names: 5q14.3 deletion syndrome;  Autosomal dominant mental retardation 20;  Chromosome 5q14.3 deletion syndrome;  Del(5)(q14.3);  Mental retardation;  autosomal dominant 20;  Monosomy 5q14.3,diseases/12166/5q143-microdeletion-syndrome
6-pyruvoyl-tetrahydropterin synthase deficiency,Other names: Hyperphenylalanemia;  BH4-deficient;  A;  Hyperphenylalaninemia due to 6-pyruvoyl-tetrahydropterin synthase deficiency;  PTS Deficiency,diseases/5682/6-pyruvoyl-tetrahydropterin-synthase-deficiency
7q11.23 duplication syndrome,Other names: 7q11.23 microduplication syndrome;  Chromosome 7q11.23 duplication syndrome;  Dup(7)(q11.23);  Somerville-Van Der AA syndrome;  Trisomy 7q11.23;  WBS duplication syndrome;  Williams-Beuren region duplication syndrome,diseases/12076/7q1123-duplication-syndrome
8p inverted duplication/deletion syndrome,Other names: 8p inverted duplication and deletion;  Invdupdel(8p);  Inverted 8p duplication/deletion syndrome,diseases/13684/8p-inverted-duplicationdeletion-syndrome
8p23.1 duplication syndrome,,diseases/10304/8p231-duplication-syndrome
8q12 microduplication syndrome,Other names: Chromosome 8q12 microduplication syndrome;  Dup(8)(q12);  Trisomy 8q12,diseases/12816/8q12-microduplication-syndrome
Aagenaes syndrome,Other names: CHLS;  Cholestasis lymphedema syndrome;  LCS;  LCS1;  Lymphedema cholestasis syndrome,diseases/370/aagenaes-syndrome
Aarskog syndrome,Other names: Aarskog disease;  Aarskog Scott syndrome;  Faciodigitogenital syndrome;  Faciogenital dysplasia;  FGDY;  Scott Aarskog syndrome,diseases/4775/aarskog-syndrome
Abdominal aortic aneurysm,Other names: Aneurysm;  abdominal aortic,diseases/9181/abdominal-aortic-aneurysm
Abdominal chemodectomas with cutaneous angiolipomas,,diseases/1265/abdominal-chemodectomas-with-cutaneous-angiolipomas
Abdominal cystic lymphangioma,Other names: Abdominal retroperitoneal lymphangioma;  RCL;  Retroperitoneal cystic lymphangioma,diseases/439/abdominal-cystic-lymphangioma
Abdominal obesity metabolic syndrome,Other names: AOMS1;  Metabolic syndrome X,diseases/9226/abdominal-obesity-metabolic-syndrome
Aberrant subclavian artery,Other names: Aberrant left subclavian artery;  Aberrant right subclavian artery,diseases/5706/aberrant-subclavian-artery
Abetalipoproteinemia,Other names: Abetalipoproteinemia neuropathy;  ABL;  Apolipoprotein B deficiency;  Bassen Kornzweig syndrome;  Bassen-Kornzweig disease;  Betalipoprotein deficiency disease;  Congenital betalipoprotein deficiency syndrome;  Homozygous familial hypobetalipoproteinemia;  Microsomal triglyceride transfer protein deficiency;  Microsomal triglyceride transfer protein deficiency disease;  MTP deficiency,diseases/5/abetalipoproteinemia
Ablepharon macrostomia syndrome,Other names: AMS;  Congenital ablepharon;  absent eyelashes/eyebrows;  macrostomia;  auricular;  nasal;  genital and other systemic anomalies,diseases/3/ablepharon-macrostomia-syndrome
ABri amyloidosis,Other names: ABri amyloidosis;  Bri amyloidosis;  Cerebral amyloid angiopathy;  British type;  Familial British dementia;  Familial dementia;  British type;  FBD;  Presenile dementia with spastic ataxia,diseases/8344/abri-amyloidosis
Abruzzo-Erickson syndrome,Other names: CHARGE like syndrome X-linked,diseases/360/abruzzo-erickson-syndrome
Absence of fingerprints congenital milia,Other names: Absence of dermatoglyphics congenital milia;  Adermatoglyphia with congenital facial milia and acral blisters;  digital contractures;  and nail abnormalities;  Baird syndrome;  Basan syndrome,diseases/2336/absence-of-fingerprints-congenital-milia
Absence of gluteal muscle,Other names: Congenital absence of gluteal muscles;  Gluteal muscle;  absence of,diseases/8518/absence-of-gluteal-muscle
Absence of septum pellucidum,,diseases/9253/absence-of-septum-pellucidum
Absence of Tibia,Other names: Bilateral absence of the tibia;  Tibia;  absence of;  Tibial hemimelia,diseases/8707/absence-of-tibia
Absence of tibia with polydactyly,Other names: Polydactyly with absent tibia,diseases/8309/absence-of-tibia-with-polydactyly
Absent breasts and nipples,Other names: Amastia;  Complete absence of breasts,diseases/9489/absent-breasts-and-nipples
Absent patella,Other names: Familial absence of the patella;  Familial aplasia of the patella (subtype);  Patella aplasia-hypoplasia;  PTLAH,diseases/8709/absent-patella
Acalvaria,Other names: Primary acalvaria,diseases/361/acalvaria
Acanthamoeba keratitis,,diseases/9285/acanthamoeba-keratitis
Acanthocheilonemiasis,Other names: Acanthocheilonema perstans infection;  Dipetalonema infections;  Dipetalonemiasis;  Mansonella perstans,diseases/4/acanthocheilonemiasis
Acanthoma,,diseases/8604/acanthoma
Acanthosis nigricans,Other names: AN,diseases/8603/acanthosis-nigricans
Acanthosis nigricans muscle cramps acral enlargement,Other names: Familial insulin resistance with acanthosis nigricans;  acral hypertrophy and muscle cramps,diseases/453/acanthosis-nigricans-muscle-cramps-acral-enlargement
Acardia,Other names: Congenital absence of the heart,diseases/9823/acardia
Acatalasemia,Other names: Acatalasia;  Catalase deficiency,diseases/363/acatalasemia
Accessory deep peroneal nerve,Other names: Peroneal nerve;  accessory deep,diseases/8546/accessory-deep-peroneal-nerve
Accessory navicular bone,Other names: Accesory navicular syndrome,diseases/8543/accessory-navicular-bone
Accessory pancreas,Other names: Pancreas accessorium,diseases/454/accessory-pancreas
ACDC,Other names: Arterial calcification and distal joint calcification;  Arterial calcification due to CD73 deficiency;  Arterial calcification due to deficiency of CD73;  Calcification of joints and arteries; CALJA,diseases/10762/acdc
Aceruloplasminemia,Other names: Ceruloplasmin deficiency;  Familial apoceruloplasmin deficiency;  Hereditary ceruloplasmin deficiency;  Hypoceruloplasminemia;  Systemic hemosiderosis due to aceruloplasminemia,diseases/9499/aceruloplasminemia
Acetyl CoA acetyltransferase 2 deficiency,Other names: ACAT2;  Acetoacetyl CoA thiolase;  cytosolic;  Acetocoenzyme A acetyltransferase 2,diseases/9154/acetyl-coa-acetyltransferase-2-deficiency
Acetyl-carnitine deficiency,Other names: Carnitine acetyltransferase deficiency,diseases/8602/acetyl-carnitine-deficiency
Achalasia microcephaly syndrome,,diseases/456/achalasia-microcephaly-syndrome
Achard syndrome,Other names: Arachnodactyly;  receding lower jaw and joint laxity of hands/feet,diseases/8176/achard-syndrome
Achard Thiers syndrome,Other names: Diabetes in bearded women;  Diabetic-bearded woman syndrome,diseases/5709/achard-thiers-syndrome
Acheiropody,Other names: Acheiropodia;  Acheiropody;  Brazilian type;  ACHP,diseases/376/acheiropody
Achondrogenesis,,diseases/2882/achondrogenesis
Achondroplasia,Other names: ACH;  Achondroplastic dwarfism,diseases/8173/achondroplasia
Achromatopsia 2,Other names: ACHM2;  Colorblindness;  total;  RMCH2;  Rod monochromacy 2;  Rod monochromatism 2,diseases/9649/achromatopsia-2
Achromatopsia 3,Other names: ACHM1 (formerly);  ACHM3;  Achromatopsia with myopia;  Pingelapese blindness;  RMCH1 (formerly);  Rod monochromacy 1 (formerly);  Rod monochromatism 1 (formerly);  Total colorblindness with myopia,diseases/9650/achromatopsia-3
Acinic cell carcinoma,Other names: Acinic cell tumor,diseases/8568/acinic-cell-carcinoma
Acoustic neuroma,Other names: Acoustic neurilemoma;  Acoustic neurinoma;  Acoustic tumor;  Cerebellopontine angle tumor;  Neurinoma of the acoustic nerve;  Vestibular schwannoma,diseases/223/acoustic-neuroma
Acquired agranulocytosis,Other names: Agranulocytosis;  acquired,diseases/5717/acquired-agranulocytosis
